param_id,description,value
Part_Number,型名,R5F100LEGFA#10
Product_Type,製品種別,16-bit RL78/G13 Microcontroller
Package,パッケージ,64-pin plastic LQFP (PLQP0064JA-A)
Package_Dimensions,パッケージ寸法,12 × 12 mm (0.65-mm pitch)
Package_Height,パッケージ高さ,1.60 mm max
Package_Mass,パッケージ質量,0.51 g typ
Core,CPUコア,RL78 CPU (CISC 3-stage pipeline)
Max_CPU_Frequency,最大CPU動作周波数,32 MHz (HS mode)
Min_Instruction_Time,最小命令実行時間,0.03125 µs (fIH = 32 MHz)
Address_Space,アドレス空間,1 MB
Code_Flash_Memory,コードフラッシュメモリ,64 KB (block size: 1 KB)
Data_Flash_Memory,データフラッシュメモリ,4 KB
RAM,RAM,4 KB
High_Speed_On_Chip_Osc,高速オンチップオシレータ,"1 to 32 MHz (selectable: 32, 24, 16, 12, 8, 6, 4, 3, 2, 1 MHz)"
High_Speed_On_Chip_Osc_Accuracy,高速オンチップオシレータ精度,"±1.0% (VDD=1.8-5.5V, TA=-20 to +85°C), ±2.0% (VDD=2.4-5.5V, TA=+85 to +105°C), ±1.5% (TA=-40 to -20°C)"
X1_Clock_Freq_Max,X1クロック最大周波数,"20 MHz (VDD=2.7-5.5V), 16 MHz (VDD=2.4-5.5V)"
Subsystem_Clock,サブシステムクロック,32.768 kHz (XT1 crystal)
Low_Speed_On_Chip_Osc,低速オンチップオシレータ,15 kHz typ (±15%)
IO_Port_Total,I/Oポート合計 (64-pin),58
CMOS_IO,CMOS I/O,48 (N-ch O.D. I/O [VDD withstand]: 15)
CMOS_Input,CMOS入力,5
CMOS_Output,CMOS出力,1
Nch_OD_IO_6V,N-ch O.D. I/O (耐圧6V),4
Timer_16bit,16ビットタイマー,8 channels
PWM_Output,PWM出力,8 channels (7 PWM outputs)
Watchdog_Timer,ウォッチドッグタイマー,1 channel
RTC,リアルタイムクロック,1 channel (calendar 99 years + alarm)
Interval_Timer_12bit,12ビットインターバルタイマー,1 channel
ADC_Resolution,A/D分解能,8/10-bit
ADC_Channels,A/Dチャネル数 (64-pin),12
ADC_Overall_Error_10bit,A/D全誤差 (10-bit),"±3.5 LSB max (1.8V ≤ AVREFP ≤ 5.5V, AVREFP = VDD)"
ADC_Conversion_Time_10bit,A/D変換時間 (10-bit),"2.125 to 39 µs (3.6V ≤ VDD ≤ 5.5V)"
ADC_INL_10bit,A/D INL (10-bit),"±2.5 LSB max (1.8V ≤ AVREFP ≤ 5.5V)"
ADC_DNL_10bit,A/D DNL (10-bit),"±1.5 LSB max (1.8V ≤ AVREFP ≤ 5.5V)"
Serial_CSI_SPI,シリアルCSI/SPI (64-pin),6 channels
