param_id,description,value
Part_Number,型名,ATF-511P8-BLK
Product_Type,製品種別,High Linearity Enhancement Mode Pseudomorphic HEMT (E-pHEMT)
Package,パッケージ,8-Lead LPCC (JEDEC DFP-N / MO229 DRP-N)
Package_Size,パッケージ寸法,2.0 x 2.0 x 0.75 mm
Ordering_Quantity,梱包数量,100 (antistatic bag)
Operating_Frequency_Range,動作周波数範囲,50 MHz to 6 GHz
MTTF,平均故障時間 (Point MTTF),> 300 years (at +85 °C mounting temperature)
MSL_Rating,湿度感度レベル,MSL-1 / lead-free
VDS_Max,最大ドレイン-ソース間電圧,7 V
VGS_Max,最大ゲート-ソース間電圧,-5 to 1 V
VGD_Max,最大ゲート-ドレイン間電圧,-5 to 1 V
IDS_Max,最大ドレイン電流,1 A
IGS_Max,最大ゲート電流,46 mA
Pdiss_Max,最大消費電力 (TB=25°C),3 W (derate 30 mW/°C for TB > 50 °C)
Pin_Max_RF,最大RF入力電力,+30 dBm
Channel_Temperature_Max,最大チャネル温度,150 °C
Storage_Temperature,保存温度範囲,-65 to 150 °C
Thermal_Resistance_ch_b,熱抵抗 (チャネル-ボード間),33 °C/W
Vgs_Operational,動作ゲート電圧 (VDS=4.5V / IDS=200mA),0.25 min / 0.51 typ / 0.8 max V
Vth,しきい値電圧 (VDS=4.5V / IDS=32mA),0.28 typ V
Idss,飽和ドレイン電流 (VDS=4.5V / VGS=0V),16.4 typ μA
Gm,相互コンダクタンス (VDS=4.5V),2178 typ mmho
Igss,ゲートリーク電流 (VDS=0V / VGS=-4.5V),-27 min / -2 typ μA
NF_2GHz,雑音指数 @ 2 GHz (VDS=4.5V / IDS=200mA),1.4 typ dB
NF_900MHz,雑音指数 @ 900 MHz (VDS=4.5V / IDS=200mA),1.2 typ dB
Gain_2GHz,利得 @ 2 GHz (VDS=4.5V / IDS=200mA),13.5 min / 14.8 typ / 16.5 max dB
Gain_900MHz,利得 @ 900 MHz (VDS=4.5V / IDS=200mA),17.8 typ dB
OIP3_2GHz,出力3次インターセプトポイント @ 2 GHz (VDS=4.5V / IDS=200mA),38.5 min / 41.7 typ dBm
OIP3_900MHz,出力3次インターセプトポイント @ 900 MHz (VDS=4.5V / IDS=200mA),43 typ dBm
P1dB_2GHz,1dB利得圧縮点出力 @ 2 GHz (VDS=4.5V / IDS=200mA),28.5 min / 30 typ dBm
P1dB_900MHz,1dB利得圧縮点出力 @ 900 MHz (VDS=4.5V / IDS=200mA),29.6 typ dBm
PAE_2GHz,電力付加効率 @ 2 GHz (VDS=4.5V / IDS=200mA),52 min / 68.9 typ %
PAE_900MHz,電力付加効率 @ 900 MHz (VDS=4.5V / IDS=200mA),68.6 typ %
ACLR_5MHz,隣接チャネル漏洩電力比 (5 MHz offset),-58.9 typ dBc
ACLR_10MHz,隣接チャネル漏洩電力比 (10 MHz offset),-62.7 typ dBc
LFOM_2GHz,リニアリティFOM @ 2 GHz (OIP3/DC power),12.1 dB
Dim_A,パッケージ寸法 A (高さ),0.70 min / 0.75 nom / 0.80 max mm
Dim_A1,パッケージ寸法 A1 (スタンドオフ),0 min / 0.02 nom / 0.05 max mm
Dim_A2,パッケージ寸法 A2,0.203 REF mm
Dim_b,パッケージ寸法 b (端子幅),0.225 min / 0.25 nom / 0.275 max mm
Dim_D,パッケージ寸法 D (本体長さ),1.9 min / 2.0 nom / 2.1 max mm
Dim_D1,パッケージ寸法 D1 (露出パッド長さ),0.65 min / 0.80 nom / 0.95 max mm
Dim_E,パッケージ寸法 E (本体幅),1.9 min / 2.0 nom / 2.1 max mm
Dim_E1,パッケージ寸法 E1 (露出パッド幅),1.45 min / 1.6 nom / 1.75 max mm
Dim_e,パッケージ寸法 e (端子ピッチ),0.50 BSC mm
Dim_P,パッケージ寸法 P (端子長さ),0.20 min / 0.25 nom / 0.30 max mm
Dim_L,パッケージ寸法 L (端子幅方向),0.35 min / 0.40 nom / 0.45 max mm
