param_id,description,value
Part_Number,型名,LPC1768FET100 (ordering: LPC1768FET100Z)
Product_Type,製品種別,32-bit ARM Cortex-M3 Microcontroller
Package,パッケージ,TFBGA100 (SOT926-1)
Package_Body_Size,パッケージ本体サイズ,9 x 9 x 0.7 mm
Package_Balls,ボール数,100
Series,シリーズ,LPC1768
Flash_Memory,フラッシュメモリ,512 kB
SRAM_CPU,SRAM (CPU),32 kB
SRAM_AHB0,SRAM (AHB SRAM0),16 kB
SRAM_AHB1,SRAM (AHB SRAM1),16 kB
SRAM_Total,SRAM (合計),64 kB
Max_CPU_Frequency,最大CPU動作周波数,100 MHz
Ext_Oscillator_Range,外部発振子範囲,1 to 25 MHz
Int_RC_Oscillator,内蔵RCオシレータ,4 MHz (± 1%)
RTC_Oscillator,RTCオシレータ入力周波数,32.768 kHz
VDD_3V3,電源電圧 VDD(3V3),2.4 to 3.6 V (typ 3.3 V)
VDD_REG_3V3,レギュレータ電源電圧 VDD(REG)(3V3),2.4 to 3.6 V (typ 3.3 V)
VDDA,アナログ電源電圧 VDDA,2.5 to 3.6 V (typ 3.3 V)
VBAT,バッテリ入力電圧 VBAT,2.1 to 3.6 V (typ 3.3 V)
VREFP,リファレンス電圧 VREFP,2.5 to VDDA (typ 3.3 V)
IDD_Active_12MHz,消費電流 (アクティブ 12MHz PLL無効),7 mA typ
IDD_Active_100MHz,消費電流 (アクティブ 100MHz PLL有効),42 mA typ
IDD_Sleep,消費電流 (スリープモード),2 mA typ
IDD_DeepSleep,消費電流 (ディープスリープモード),240 µA typ
IDD_PowerDown,消費電流 (パワーダウンモード),31 µA typ
IDD_DeepPowerDown,消費電流 (ディープパワーダウン RTC動作),630 nA typ
Operating_Temp_Range,動作温度範囲,-40 to +85 °C
Storage_Temp_Range,保存温度範囲,-65 to +150 °C
Tj_Max,最大接合温度,150 °C
VDD_3V3_AbsMax,絶対最大定格 VDD(3V3),-0.5 to +4.6 V
Ptot_Pack,最大消費電力 (パッケージ),1.5 W
ESD_HBM,ESD耐圧 (HBM),± 4000 V
Rth_JA_JEDEC,熱抵抗 θJA (JEDEC TFBGA100),55.2 °C/W
Rth_JA_SingleLayer,熱抵抗 θJA (単層 TFBGA100),45.6 °C/W
Rth_JC,熱抵抗 θJC (TFBGA100),9.5 °C/W
IOH,HIGH出力電流,4 mA
IOL,LOW出力電流,4 mA
VIH,HIGH入力電圧,0.7 x VDD(3V3)
VIL,LOW入力電圧,0.3 x VDD(3V3)
VI_5V_Tolerant,入力電圧 (5Vトレラント),0 to 5.0 V
GPIO_Count,GPIO数,70
Ethernet,Ethernet,Yes (RMII)
USB,USB,Device/Host/OTG (Full-speed)
CAN_Channels,CANチャネル数,2
UART_Count,UART数,4
SSP_Count,SSPコントローラ数,2
SPI_Count,SPIコントローラ数,1
I2C_Count,I2Cインターフェース数,3
I2S,I2Sインターフェース,Yes
ADC_Resolution,ADC分解能,12-bit
ADC_Channels,ADCチャネル数,8
ADC_Max_Clock,ADCクロック周波数 (最大 12bit),13 MHz
ADC_Max_ConvRate,ADC変換レート (最大 12bit),200 kHz
ADC_DNL,ADC DNL (12bit),1 LSB max
ADC_INL,ADC INL (12bit),3 LSB max
ADC_AbsError,ADC絶対誤差 (12bit),4 LSB max
DAC_Resolution,DAC分解能,10-bit
DAC_DNL,DAC DNL,1 LSB typ
DAC_INL,DAC INL,1.5 LSB typ
DAC_OffsetError,DACオフセット誤差,0.6% typ
DAC_GainError,DACゲイン誤差,0.6% typ
Timer_Count,汎用タイマ数,4
PWM,PWM,"Motor control PWM + 1 standard PWM"
RTC,RTC,Yes (別電源ドメイン)
WDT,ウォッチドッグタイマ,Yes
DMA_Channels,DMAチャネル数,8
Flash_Endurance,フラッシュ書き換え回数,10000 to 100000 cycles
Flash_Retention_Powered,フラッシュデータ保持 (電源あり),10 years min
Flash_Retention_Unpowered,フラッシュデータ保持 (電源なし),20 years min
Flash_Erase_Time,フラッシュ消去時間,100 ms typ
Flash_Program_Time,フラッシュプログラム時間 (256 bytes),1 ms typ
Mounting_Type,実装タイプ,Surface Mount (BGA)
