param_id,description,value,status
Part_Number,型名,IRLZ44S / SiHLZ44S,extracted
Product_Type,製品種別,N-Channel Logic Level Power MOSFET,extracted
Package,パッケージ,D2PAK (TO-263),extracted
Manufacturer,メーカー,Vishay Siliconix,extracted
FET_Type,FETタイプ,N-Channel,extracted
Technology,技術,MOSFET (Third Generation Power MOSFET),extracted
Mounting_Type,実装タイプ,Surface Mount,extracted
Configuration,構成,Single,extracted
Ordering_Info,発注型名 (Lead-free版),"IRLZ44SPbF (単品) / IRLZ44STRRPbF (テープ&リール)",extracted
VDS,ドレイン-ソース間耐圧,60 V,extracted
VGS_Max,ゲート-ソース間最大電圧,±10 V,extracted
ID_TC25,"連続ドレイン電流 (TC=25°C, VGS=5.0V)",50 A,extracted
ID_TC100,連続ドレイン電流 (TC=100°C),36 A,extracted
IDM,パルスドレイン電流,200 A,extracted
PD_TC25,最大消費電力 (TC=25°C),150 W,extracted
PD_TA25_PCB,"最大消費電力 (PCB実装, TA=25°C)",3.7 W,extracted
Linear_Derating_Factor,リニアディレーティングファクタ,1.0 W/°C,extracted
Linear_Derating_Factor_PCB,リニアディレーティングファクタ (PCB実装),0.025 W/°C,extracted
EAS,単パルスアバランシェエネルギー,400 mJ,extracted
dv_dt,ピークダイオード回復 dV/dt,4.5 V/ns,extracted
TJ_TSTG_Range,接合温度・保存温度範囲,-55 to +175 °C,extracted
Soldering_Temp,はんだ付けピーク温度 (10秒間),300 °C,extracted
Thermal_Resistance_JA,熱抵抗 θJA (ジャンクション-周囲間),62 °C/W max,extracted
Thermal_Resistance_JA_PCB,"熱抵抗 θJA (ジャンクション-周囲間, PCB実装)",40 °C/W max,extracted
Thermal_Resistance_JC,"熱抵抗 θJC (ジャンクション-ケース間, ドレイン)",1.0 °C/W max,extracted
BVDSS,"ドレイン-ソース間降伏電圧 (VGS=0V, ID=250µA)",60 V min,extracted
BVDSS_TempCoeff,"VDS温度係数 (Reference to 25°C, ID=1mA)",0.070 V/°C typ,extracted
VGS_th,"ゲートしきい値電圧 (VDS=VGS, ID=250µA)",1.0 V min / 2.0 V max,extracted
IGSS,ゲート-ソース間漏れ電流 (VGS=±10V),±100 nA max,extracted
IDSS_25C,"ゼロゲート電圧ドレイン電流 (VDS=60V, VGS=0V)",25 µA max,extracted
IDSS_150C,"ゼロゲート電圧ドレイン電流 (VDS=48V, VGS=0V, TJ=150°C)",250 µA max,extracted
RDS_on_VGS5V,"オン抵抗 (VGS=5.0V, ID=31A)",0.028 Ω max,extracted
RDS_on_VGS4V,"オン抵抗 (VGS=4.0V, ID=25A)",0.039 Ω max,extracted
gfs,"順方向相互コンダクタンス (VDS=25V, ID=31A)",23 S min,extracted
Ciss,"入力容量 (VGS=0V, VDS=25V, f=1MHz)",3300 pF typ,extracted
Coss,"出力容量 (VGS=0V, VDS=25V, f=1MHz)",1200 pF typ,extracted
Crss,"帰還容量 (VGS=0V, VDS=25V, f=1MHz)",200 pF typ,extracted
Qg_Total,"総ゲート電荷量 (VGS=5.0V, ID=51A, VDS=48V)",66 nC max,extracted
Qgs,ゲート-ソース間電荷量,12 nC max,extracted
Qgd,ゲート-ドレイン間電荷量,43 nC max,extracted
td_on,"ターンオン遅延時間 (VDD=30V, ID=51A, Rg=4.6Ω, RD=0.56Ω)",17 ns typ,extracted
tr,立ち上がり時間,230 ns typ,extracted
td_off,ターンオフ遅延時間,42 ns typ,extracted
tf,立ち下がり時間,110 ns typ,extracted
LD,内部ドレインインダクタンス (リード6mm-ダイ接触点中心間),4.5 nH typ,extracted
LS,内部ソースインダクタンス,7.5 nH typ,extracted
IS,連続ソース-ドレインダイオード電流,50 A,extracted
ISM,パルスダイオード順方向電流,200 A,extracted
VSD,"ボディダイオード順方向電圧 (TJ=25°C, IS=51A, VGS=0V)",2.5 V max,extracted
trr,"逆回復時間 (TJ=25°C, IF=51A, dI/dt=100A/µs)",130 ns typ / 180 ns max,extracted
Qrr,"逆回復電荷量 (TJ=25°C, IF=51A, dI/dt=100A/µs)",0.84 µC typ / 1.3 µC max,extracted
